Word,N,Mean,SD
abacus,24,4.666666667,2.098999071
abdomen,23,5.434782609,1.996043517
abdominal,25,3.92,2.271563338
abduct,24,1.791666667,1.693444308
abide,25,1.76,1.392838828
ablaze,25,2.08,1.605199884
able,25,1.72,1.1
aboard,25,1.76,1.331665624
abode,23,3.434782609,2.085144141
abort,24,1.541666667,1.178767472
about,24,1.416666667,0.829702234
above,25,1.4,0.816496581
abrasion,23,2.304347826,1.520609406
abrasive,27,1.814814815,1.241495284
abroad,27,1.814814815,1.732873049
abscess,21,3.904761905,1.70014005
absent,23,1.47826087,0.897955517
absinthe,22,4.590909091,2.0853021
absorb,25,2.12,1.53622915
absorbent,24,2,1.444630237
abuse,28,2.321428571,1.806440565
abyss,27,1.962962963,1.372294022
academy,24,2.791666667,1.768791449
accelerator,27,4.037037037,2.42552899
accent,26,2.423076923,1.921938124
accept,24,2.041666667,2.053187695
access,23,2.47826087,1.702126083
accessory,25,4.72,1.744515214
accident,22,2.818181818,2.281110081
accordion,23,5.826086957,1.466355219
account,23,2,1.414213562
accountant,24,4.666666667,2.140025735
ace,24,3.166666667,1.992740448
acetylene,18,2.666666667,1.495090003
ache,23,2.913043478,2.172410548
aching,26,1.961538462,1.708350531
acid,27,3.111111111,1.783111656
acidic,24,2.083333333,1.585715218
acne,23,4.391304348,1.827545061
acorn,25,5.28,1.791647287
acquire,23,1.608695652,1.233587909
acre,23,2.217391304,1.475759334
acrid,20,1.8,1.472555959
acrobat,23,5.043478261,1.845837107
acrobatics,25,2.44,2.180978374
action,22,2.590909091,2.015631554
active,27,1.888888889,1.502135232
actor,23,4.739130435,1.737746485
actress,25,4.92,1.754042949
actuality,26,1.692307692,1.378962821
acupuncture,28,5.285714286,1.882810013
ad,25,2.2,1.443375673
adapter,24,4.583333333,1.931808494
add,28,2.285714286,1.511857892
addict,23,4.391304348,1.900696773
addition,28,1.785714286,1.571909498
additive,23,3.52173913,2.019666156
address,24,1.833333333,1.274044115
adhere,25,2.08,1.869046103
adhesive,24,3.541666667,2.08470969
adjacent,25,1.92,1.630950643
adjourn,24,2.041666667,1.517411029
adjust,24,1.875,1.226961606
administer,24,2.958333333,2.255026591
administration,25,2.24,1.3
administrator,23,3.652173913,1.92137961
admiral,23,4.173913043,2.228986193
admission,27,2.333333333,2.038098661
adobe,28,3.142857143,1.532712089
adrift,27,1.888888889,1.423250163
adult,22,5.409090909,1.816828501
adulteress,24,4.208333333,1.977683464
advance,25,1.68,0.945163125
advantage,22,2,1.718249386
adventurer,27,3.185185185,1.732873049
advertisement,23,3.652173913,2.080399779
advertiser,26,3.576923077,2.138655221
advertising,29,2.379310345,1.801067007
advice,24,2.125,1.727337735
adviser,24,4.083333333,2.185260241
advisor,23,4.347826087,1.773765785
aerosol,25,3.8,1.779513042
afar,25,1.16,0.553774924
affidavit,28,3.607142857,1.499117906
afford,25,1.52,1.194431524
aflame,21,2.19047619,1.66189794
afloat,27,1.333333333,0.733799386
afraid,24,1.333333333,0.868114732
afro,25,4.52,1.98158186
after,26,1.346153846,1.19807538
afterbirth,24,3.333333333,2.119611668
aftershave,24,5.375,1.951866442
age,25,1.76,1.42243922
agency,23,3.130434783,2.051703235
agent,25,3.84,1.907878403
agility,25,2.52,1.917463602
agriculture,23,2.434782609,1.700964618
