Word,Mean,SD,Median,Min,Max,N
abandon,4.782608695652174,1.857577154622519,5,1,7,23
abandonment,4.681818181818182,2.0091780749342596,5,1,7,22
abdomen,2.217391304347826,1.999011613480532,1,1,7,23
abdominal,2.2857142857142856,1.8746428231227714,1,1,7,21
abduct,5,2.3664319132398464,6,1,7,21
abduction,5.285714285714286,1.901127485016645,6,1,7,21
abide,4.904761904761905,1.6402671094904606,6,2,7,21
ability,4.782608695652174,1.8079753050186587,5,1,7,23
abject,3.5,1.9867985355975657,3,1,6,20
ablaze,2.5652173913043477,2.232529893040664,1,1,7,23
able,3.4583333333333335,1.5316704909195133,3.5,1,7,24
abnormal,3.3043478260869565,1.794810261146784,3,1,7,23
abode,3.727272727272727,2.0743746775908884,3.5,1,7,22
abolish,3.652173913043478,2.013786475369086,4,1,7,23
abomination,4.571428571428571,2.1111946516469904,5,1,7,21
abort,4.04,2.009975124224178,4,1,7,25
abortion,3.8260869565217392,2.103075105930782,4,1,7,23
abrasive,3.6666666666666665,2.309401076758503,3,1,7,21
abrupt,2.3636363636363638,1.5900121157206721,2,1,7,22
absence,3.9166666666666665,2.465706824609839,4,1,7,24
absent,3.4347826086956523,2.0410800829801707,3,1,7,23
absinthe,2.4761904761904763,1.7781745588959375,1,1,5,21
absolve,4.2727272727272725,1.931735419668473,5,1,7,22
absorb,2.1666666666666665,1.6594044679962137,1.5,1,7,24
abstain,3.7,1.5252264715358452,3.5,1,7,20
absurdity,4.090909090909091,2.348435972120917,4,1,7,22
abundance,3.1739130434782608,1.9920791768000379,3,1,7,23
abundant,3.2916666666666665,2.1964233112765035,3,1,7,24
abuse,4.954545454545454,2.0348691949834614,5.5,1,7,22
abusive,5.208333333333333,1.7440374613713625,6,1,7,24
abyss,1.8571428571428572,1.2363540870525032,1,1,5,21
accelerant,2.3636363636363638,1.3988244910316507,2,1,5,22
accelerate,2.25,1.6484511834894675,2,1,7,24
accelerated,2.08,1.5790292376436015,1,1,6,25
acceleration,2.3043478260869565,1.8934044040178395,1,1,7,23
accelerator,1.6956521739130435,1.428119634939456,1,1,6,23
accent,4.428571428571429,1.776835067512699,5,1,7,21
accept,3.608695652173913,1.4996705830639974,4,1,7,23
acceptance,5.130434782608695,1.96108383359089,6,1,7,23
access,2.8095238095238093,1.6618979396776332,3,1,6,21
accessible,4.130434782608695,2.1596369186864166,4,1,7,23
accessory,2.25,1.7257638510425513,1,1,7,24
